id, Start Time, End Time, Feeding History ID
67,1619961095980,1619961491587,792
66,1619961033352,1619961090559,792
65,1619949969579,1619950014039,789
64,1619443401309,1619443421199,712
63,1619102798999,1619104188689,657
62,1619061022899,1619061202195,650
61,1618660930501,1618661129756,583
60,1618545542219,1618545657630,564
59,1618512709840,1618512755126,559
58,1618503390714,1618503588273,556
57,1618429057586,1618429183693,545
56,1618256248235,1618256262566,518
55,1618133039210,1618133108337,500
54,1617917837193,1617917840935,474
53,1617705640001,1617705925081,447
52,1617697114243,1617697127508,446
51,1617636974058,1617636998450,439
50,1617591254553,1617591796974,433
49,1617484555314,1617484576315,415
48,1617484145889,1617484258556,415
46,1617422846139,1617422941594,404
45,1617388144171,1617388330272,400
44,1617338180501,1617339235511,388
43,1617314387945,1617314518519,385
41,1617126761230,1617127290733,354
40,1617124599203,1617125670149,353
39,1617087193368,1617087422153,347
38,1617086869883,1617086958862,347
37,1617077353833,1617077443491,346
36,1617029104319,1617029165808,338
35,1617028444300,1617028846667,338
34,1616957371960,1616957418733,330
33,1616904314455,1616904323405,324
32,1616889641415,1616890291545,321
31,1616788166252,1616788172957,309
30,1616744503580,1616744601438,304
29,1616504821715,1616505012326,272
28,1616485625256,1616485986482,269
27,1616435375261,1616435529189,262
26,1616411633867,1616411791670,258
25,1616333095594,1616333207357,250
24,1616223735699,1616224110802,238
23,1616165278070,1616165921552,230
22,1616117264769,1616118453762,225
21,1616018964412,1616019009465,212
20,1615872504785,1615872950174,191
19,1615802410939,1615802808860,182
18,1615695292933,1615695826267,168
17,1615452550382,1615452644516,131
16,1615441346307,1615441514461,130
15,1615427833618,1615428463391,128
14,1615385262141,1615385602032,124
13,1615350470836,1615350787607,120
12,1615231109027,1615232293056,102
11,1615146451593,1615146718891,90
10,1615095212294,1615095703715,81
9,1615050927447,1615051014599,73
8,1615000805878,1615001219407,65
7,1614994247263,1614994896615,64
6,1614945965351,1614946681868,55
5,1614868481418,1614869440864,44
4,1614865024466,1614865221262,43
2,1614747059617,1614747358051,22
